"id;name;price;brand;imageUrl;info;real_pdp_url"
"8100001270;Apple iPhone Xs Max 512GB Silver;19999000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-max-silver_1_2_1.jpg;Stok Habis;https://ibox.co.id/product/apple-iphone-xs-max-512gb-silver-qr-new"
"8100001269;Apple iPhone Xs Max 512GB Space Grey;19999000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-max-space-gray_1_2_1.jpg;Stok Habis;https://ibox.co.id/product/apple-iphone-xs-max-512gb-space-grey-new"
"8100001137;Apple iPhone Xs 512GB Space Grey;18999000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-space-gray_1_2_1.jpg;Stok Habis;https://ibox.co.id/product/apple-iphone-xs-512gb-space-grey-new"
"8100001132;Apple iPhone Xs 64GB Silver;11999000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-silver_1_2.jpg;Stok Habis;https://ibox.co.id/product/apple-iphone-xs-64gb-silver-new"
"8100001131;Apple iPhone Xs 64GB Space Grey;11999000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/i/p/iphone-xs-space-gray_1_1.jpg;Stok Habis;https://ibox.co.id/product/apple-iphone-xs-64gb-space-grey-qrp"
"8100010757;Apple AirPods With Wireless Charging Case (Generasi ke-2);2799000;Apple;https://cdn.eraspace.com/pub/media/catalog/product/a/p/apple-airpods-with-charging-case-1_2.jpg;Click & Pickup;https://ibox.co.id/product/apple-airpods-with-wireless-charging-case-generasi-ke2"
"8100004719;JBL Earphone T110BT - Grey;199000;JBL;https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_grey_1.jpg;Click & Pickup;https://ibox.co.id/product/jbl-earphone-t110bt-grey"
"8100004717;JBL Earphone T110BT - White;199000;JBL;https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_white_1_2.jpg;Click & Pickup;https://ibox.co.id/product/jbl-earphone-t110bt-white-1"
"8100004720;JBL Earphone T110BT - Pink;700000;JBL;https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_pink_1.jpg;Click & Pickup;https://ibox.co.id/product/jbl-earphone-t110bt-pink"
"8100004718;JBL Earphone T110BT - Blue;199000;JBL;https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl_t110bt_blue_1.jpg;Click & Pickup;https://ibox.co.id/product/jbl-earphone-t110bt-blue-new"
"8100022902;JBL Charge 4 - Red;1949000;JBL;https://cdn.eraspace.com/pub/media/catalog/product/j/b/jbl-charge-2-red-1_1.jpg;Stok Habis;https://ibox.co.id/product/jbl-charge-4-red"
